,id,sim1,sim2,sim3,sim4
0,49091,56334,33814617,28836054,22068486
1,50646,20888336,36703860,481789,6547248
2,56334,49091,37805107,20426981,38244327
3,71609,71907,36645003,33698332,33028621
4,71896,71903,423875,34818375,26790724
5,71903,71896,423875,34818375,26790724
6,71907,71609,34466742,11399335,8779986
7,241503,10273463,241508,241510,15364942
8,241508,241503,10273463,241510,15364942
9,241510,241503,241508,10273463,24751008
10,275344,324945,330095,37984441,37984348
11,294281,15991345,369141,369145,22560212
12,324945,275344,330095,37984441,37984348
13,330089,24855606,38741132,24606096,25324517
14,330095,275344,324945,20560133,19848045
15,344803,34818375,26790724,34233502,33476458
16,355955,4360679,5302410,5854894,29252819
17,369141,16007139,16006904,294281,369145
18,369145,15991345,294281,369141,38244508
19,395191,18679631,10107535,12598602,31130959
20,423875,71903,71896,34818375,26790724
21,481789,25381551,33836101,37899526,21238118
22,553229,27292722,35442042,33737841,21069176
23,604966,14376831,16620711,27005451,38303393
24,606784,8975531,23407282,16124377,21675447
25,625055,38649539,17949590,30328747,36053005
26,642660,29909380,28731913,34949534,34004893
27,696136,8839856,6469942,20918452,27501982
28,719944,37095556,37030768,37096106,22733377
29,733863,19091188,13088479,6203213,27830769
30,746929,15159420,10484336,3925851,32295549
31,756267,819044,15274648,1622505,9030732
32,756300,17163340,30261649,5750637,18151459
33,756347,33841403,30485907,35879293,29745033
34,764599,38712632,369145,22286141,24689171
35,765579,35026116,33885738,31155160,9397355
36,782227,19670675,22037196,37302403,28657927
37,819034,38462265,8525879,35030220,7704031
38,819044,756267,1622505,15274648,15721063
39,822413,922138,19595827,23094299,20096441
40,833289,36682700,21190603,4561463,32922416
41,872345,1078804,881683,879526,29948946
42,879526,872345,1078804,881683,29948946
43,881253,28700151,25963531,30453430,24635669
44,881683,872345,879526,1078804,29599048
45,888196,28271558,25716782,38110183,31043765
46,902669,15367409,26290123,34909010,23097015
47,918880,10480544,22183984,20715202,982909
48,922138,822413,29494102,21236579,11245028
49,922509,2163108,25020267,22410924,19007966
50,963342,33894164,35742330,9673809,20256486
51,982909,8432287,5855352,18376117,26502772
52,1024986,5609097,7614627,8259582,22225768
53,1060046,31807204,36703860,14029416,35181133
54,1078804,872345,879526,881683,29948946
55,1131162,18589278,9667448,38794026,18656726
56,1134937,38341489,38865891,37302403,21618918
57,1142414,35508758,26384329,36167207,33086213
58,1178486,36080117,26857526,38337287,25765385
59,1183421,19491981,4996744,6826957,10638481
60,1199033,4412603,16914032,22776112,23952695
61,1210268,1210268,26405063,4450681,23672746
62,1229614,1833950,34727793,5272363,27737495
63,1233249,4450681,23672746,4026199,8432015
64,1242205,23641327,23641675,14377235,20609405
65,1244654,37945388,22561920,30596340,23108965
66,1249555,1249555,26822021,20984770,34790062
67,1261443,25860399,23080358,30046453,30410480
68,1277842,17805144,13929091,14009803,6190850
69,1277919,1277842,13924029,13929091,14009803
70,1302185,26957177,18517165,18572753,12924827
71,1315867,32976976,12220788,29599048,29597994
72,1363204,3667894,24972169,10427701,25353206
73,1434208,21830116,24292400,9778024,26852016
74,1466685,3981252,14989813,22287564,20514799
75,1485189,3924672,16148118,14325761,21227203
76,1508829,31081282,32888726,32777995,24919927
77,1521198,11364861,35429425,21358634,5082033
78,1562453,25949294,7914388,4899063,24303300
79,1581224,31477649,31477722,31474994,31475809
80,1599599,4802295,11865064,19516846,4828432
81,1611318,23407282,11711679,606784,8975531
82,1615074,30570119,31107843,25963531,28700151
83,1622505,819044,756267,15274648,10299900
84,1643945,24435647,5405213,38819850,6426551
85,1646909,16345097,11219236,12804511,33926472
86,1647014,8156821,25972498,21718642,20335984
87,1654284,28966874,12906176,21037930,4569941
88,1654840,13965663,8890247,7914388,10027442
89,1656833,12257654,8657749,6310906,14078478
90,1678744,1678755,31002918,28998191,31931211
91,1678754,8914905,36159717,37341059,35167968
92,1678755,1678744,31931211,28998161,28998191
93,1678781,8994409,22636241,5348037,23209834
94,1710048,21970302,21145943,37444884,22019165
95,1715479,21031360,21234121,11664911,21063861
96,1719704,35830088,1719704,32027361,36605228
97,1766900,16499872,24170288,4380000,22361966
98,1795873,29161818,29495154,31361710,31361651
99,1804722,16605632,14989747,38251837,38706411
100,1805143,37914080,38191349,28063799,33457205
101,1813277,4899063,22475917,9416695,16759601
102,1816463,38308020,33678741,25381551,29599789
103,1833950,1229614,34727793,5272363,21112300
104,1838622,34987853,25586550,18679631,38584344
105,1848152,6890874,32643321,37509823,25381551
106,1857229,17859496,11659884,24230737,28037774
107,1893524,16896151,14491116,12738896,13980339
108,1900478,34733071,31840078,17123186,7105265
109,1902729,2009008,14196558,11046665,7766300
110,1902793,6026527,15365213,14524386,8113821
111,1989617,36079599,19491981,15438033,24551122
112,1991291,24962718,13934542,26010706,25985784
113,2001199,33698332,36645003,33028621,33886921
114,2009008,2009008,14196558,11046665,7766300
115,2024941,30180540,13472462,23052237,20564987
116,2030544,32504842,25102785,29969867,35885925
117,2030663,2142826,2085130,23149899,28896892
118,2033483,32198860,32198422,32223363,31297727
119,2036711,2484135,30328747,17949590,27581596
120,2085130,2142826,2030663,37030900,37551948
121,2090082,3822245,11520426,2090132,3460343
122,2090132,3822245,2090082,11520426,3116909
123,2095865,2156329,30571312,31095224,23438702
124,2113778,33619991,16499872,9084907,15173797
125,2121839,36793815,30578632,30578891,35973548
126,2128875,6717992,38587031,21314013,7538532
127,2129215,13183241,14558461,16260783,11679272
128,2142826,2085130,2030663,37030900,37551948
129,2146015,37236900,10225514,15532514,4139205
130,2156329,2095865,24962718,12906176,28966874
131,2156372,36989732,17949590,17740089,38244327
132,2163108,922509,25020267,22410924,19007966
133,2320536,31768511,11463897,16413787,13982434
134,2351979,34448366,1024986,10638481,5609097
135,2357514,2488036,25306790,25306121,24962718
136,2362558,19777121,35323438,27970365,28037249
137,2375063,37518083,19629485,30896151,3419511
138,2377875,1178486,25306072,25765385,26183286
139,2387096,19798538,2387588,19797480,9116730
140,2387588,19797480,2387096,19798538,9116730
141,2387687,2387730,16947051,16428014,4008423
142,2387715,16427874,33485615,35847686,35718115
143,2387730,2387687,16428014,16947051,4008423
144,2427007,37822043,37817004,37819972,37819373
145,2451003,8345651,29093658,21258007,37893707
146,2484135,2036711,30328747,12973338,17949590
147,2488036,2357514,23008962,25306790,10210475
148,2492539,9659327,37419221,19774490,37586357
149,2532466,3405389,21031360,21127335,19645713
150,2541029,36679339,23223200,24001526,8878770
151,2547370,9976083,27409849,9398808,37822043
152,2547778,24900530,22874940,7031773,12873475
153,2612906,3822245,2090082,11520426,3460343
154,2673027,24962718,36053005,38244508,35220865
155,2691621,8839856,29495154,31361651,31361710
156,2696834,5129422,5276634,5186205,5186159
157,2764928,4996744,10638481,1024986,31344812
158,2765052,19772238,37472011,12220788,18416274
159,2838555,19810810,7282084,19642785,4041554
160,2840554,3140972,4527878,3863231,6685809
161,2851984,12178884,36679339,35166846,31180978
162,2858696,11541093,32837771,3116909,24294968
163,2868366,16578060,36516629,29323656,29253018
164,2890215,7069513,32591743,20223050,18351213
165,2922184,24125960,25385698,25424295,13317120
166,2959811,6768997,9459389,7182463,20397739
167,2960181,30915394,33501399,6581009,6603488
168,3000736,3179080,35696120,35772714,14332483
169,3034137,30261649,21984842,23815487,28262827
170,3075620,4771752,22560212,22561162,11642282
171,3078453,33809204,14020127,5265322,28792409
172,3085308,37472944,33782992,21370642,18903533
173,3100323,21830116,21257966,24707188,28067163
174,3116909,3822245,2090082,11520426,2090132
175,3140972,6605136,6381495,6142181,7138922
176,3141018,20967495,24463811,32954596,21360845
177,3144267,3258894,4561484,4041554,6605136
178,3179080,3000736,35696120,35773131,35773253
179,3179271,20442964,27839848,27470104,28033518
180,3207194,4664392,34874957,6850935,6023517
181,3209752,8975531,606784,6079533,21831599
182,3209809,34098015,13038831,8657749,4926023
183,3212083,16425946,5897641,5319766,6826957
184,3258894,4561484,3144267,4041554,6034863
185,3265545,35766663,22235974,22693505,16182554
186,3304326,6079533,9959188,21915252,8180346
187,3325956,22857843,22858129,20485337,20608112
188,3340547,13275737,29108574,36028778,15581173
189,3349976,31362354,31879525,14509613,12033925
190,3380992,31478267,29581575,29582208,29115171
191,3405389,1715479,2532466,4608708,21031360
192,3419511,37518083,30896151,2375063,36939176
193,3433708,5369727,8493657,13943612,11094655
194,3460343,2090082,3822245,11520426,2090132
195,3468326,19091188,6203213,38242543,13756029
196,3479446,13274269,4069756,13274598,12525276
197,3479493,3639516,3651408,3479446,4054698
198,3558867,14243662,19887149,21415030,36793583
199,3580558,1024986,4996744,10638481,4969777
200,3598371,4115899,37957891,20220446,37538230
201,3617090,7534889,3671451,6685809,3752662
202,3639516,3651408,3479493,4054698,3479446
203,3651408,3651408,3479493,4054698,3479446
204,3667894,1363204,24972169,10427701,25353206
205,3671451,3617090,3752662,4041554,7534889
206,3717196,4069756,13274598,12525276,13274269
207,3717217,29585919,29068591,10126030,8212422
208,3752662,6034863,4041554,3617090,3859180
209,3753251,34053192,24294968,2612906,7399093
210,3788645,7330207,38003853,38004222,38004162
211,3790364,6605136,3140972,4041554,6142181
212,3802621,3980202,3990431,18679631,24706634
213,3803160,6716844,7641522,9268500,9269260
214,3822245,2090082,11520426,2090132,3116909
215,3829545,37141391,35442042,11441534,20936240
216,3838311,21234121,28198489,21206665,13387049
217,3844690,9422496,9653717,32198422,32198860
218,3859180,4022486,4041554,6034863,3988536
219,3863231,4252548,6142181,19642785,7282084
220,3874257,8818936,24001052,24002985,4179725
221,3877859,22826338,8399111,21370642,21031388
222,3893523,3901141,38341489,5246432,33333684
223,3901141,3893523,32003564,14524929,11515630
224,3902423,5302410,19848045,20485337,20608112
225,3909587,36677768,16499872,8899095,33461309
226,3924672,1485189,6528691,16148118,4521061
227,3925851,15159420,16057988,14020127,746929
228,3954113,4446102,4478773,4360811,24962718
229,3980202,3802621,3990431,18679631,24962718
